#,Country,First Name,Last Name ,Last,UID,Matches,Minutes,km,m/min,poss,no poss,speed,low,med,high
248,ARG ,Lionel,MESSI,MESS,MESSARG ,4,360,33.28,92.4,16.19,10.74,28.72,229,12,15
63,ARG ,Maxi,RODRIGUEZ,RODR,RODRARG ,4,256,30.47,119,13.18,11.24,23.63,151,19,20
195,ARG ,Carlos,TEVEZ,TEVE,TEVEARG ,3,234,24.3,103.8,11.14,8.2,28.15,153,12,16
43,ARG ,Juan,VERON,VERO,VEROARG ,3,185,22.44,121.3,11.04,7.63,21.88,108,13,17
9,AUS ,Jason,CULINA,CULI,CULIAUS ,3,270,35.05,129.8,12.59,16.39,22.6,147,22,24
14,AUS ,Brett,EMERTON,EMER,EMERAUS ,3,254,32.53,128.1,12.32,13.74,24.32,145,19,22
178,AUS ,Lucas,NEILL,NEIL,NEILAUS ,3,270,28.44,105.3,9.45,12.87,25.05,164,14,14
1,AUS ,Carl,VALERI,VALE,VALEAUS ,3,246,34.42,139.9,12.5,16.21,23.82,122,22,30
8,AUS ,Luke,WILKSHIRE,WILK,WILKAUS ,3,256,33.29,130,12.24,14.76,22.6,143,22,29
16,BRA ,DANI,ALVES,ALVE,ALVEBRA ,4,220,28.08,127.6,12.27,9.74,25.99,128,17,19
147,BRA ,MICHEL,BASTOS,BAST,BASTBRA ,4,360,39.14,108.7,17.23,13.99,29.41,214,21,23
242,BRA ,LUIS,FABIANO,FABI,FABIBRA ,4,341,32.84,96.3,16.11,10.16,28.39,225,15,15
252,BRA ,JUAN,JUAN,JUAN,JUANBRA ,4,360,31.76,88.2,12.75,12.45,26.17,232,14,13
167,BRA ,KAKA,KAKA,KAKA,KAKABRA ,3,247,26.32,106.6,12.99,8.16,29.84,163,15,15
237,BRA ,LUCIO,LUCIO,LUCI,LUCIBRA ,4,360,34.88,96.9,14.19,12.41,24.46,225,17,17
206,BRA ,MAICON,MAICON,MAIC,MAICBRA ,4,360,36.89,102.5,15.66,13.49,28.76,218,16,24
121,BRA ,FELIPE,MELO,MELO,MELOBRA ,3,218,24.33,111.6,11.33,8.06,30.75,130,14,15
159,BRA ,ROBINHO,ROBINHO,ROBI,ROBIBRA ,3,264,28.43,107.7,14.09,9.28,28.39,157,15,20
53,BRA ,GILBERTO,SILVA,SILV,SILVBRA ,4,360,43.27,120.2,18.82,16.27,27.5,208,26,26
200,CMR,Benoit,ASSOU-EKOTTO,ASSO,ASSOCMR,3,270,27.92,103.4,10.9,10.71,26.01,166,14,14
241,CMR,Samuel,ETOO,ETOO,ETOOCMR,3,270,26.05,96.5,11.34,8.65,22.71,169,12,12
99,CMR,GEREMI,GEREMI,GERE,GERECMR,3,195,22.36,114.7,9.08,8.73,22.6,110,13,14
140,CMR,Jean,MAKOUN,MAKO,MAKOCMR,3,209,22.9,109.6,10.37,8.1,20.95,127,15,15
135,CMR,Stephane,MBIA,MBIA,MBIACMR,3,270,29.69,110,12.14,10.79,24.42,161,15,16
233,CMR,Nicolas,NKOULOU,NKOU,NKOUCMR,3,253,24.77,97.9,10.59,9.33,23.4,164,13,12
176,CHI ,Jean,BEAUSEJOUR,BEAU,BEAUCHI ,4,360,37.94,105.4,15.66,13.34,28.51,191,17,23
83,CHI ,Carlos,CARMONA,CARM,CARMCHI ,3,270,31.53,116.8,13.53,11.36,24.57,135,18,20
